category,questionText,option1,option2,option3,option4,correctAnswer,equation
Calculus,Find ∫₀^(π/2) cos(x) dx,1,0,π/2,2,0,"∫₀^(π/2) cos(x) dx"
Calculus,What is ∫₂³ (x² - 1) dx,19/3,20/3,7,6,0,"∫₂³ (x² - 1) dx"
Calculus,Find the critical points of f(x) = x³ - 3x² + 2,x = 0 and x = 2,x = 1 and x = 3,x = -1 and x = 2,x = 0 and x = 3,0,"f(x) = x³ - 3x² + 2"
Calculus,Where does f(x) = x² - 4x + 3 have its minimum?,x = 2,x = 1,x = 3,x = 0,0,"f(x) = x² - 4x + 3"
Calculus,Find the inflection point of f(x) = x³ - 6x² + 9x,x = 2,x = 1,x = 3,x = 0,0,"f(x) = x³ - 6x² + 9x"
Calculus,At what point is f(x) = 2x³ - 3x² - 12x + 1 increasing most rapidly?,x = -1,x = 1,x = 2,x = 0,0,"f(x) = 2x³ - 3x² - 12x + 1"
Calculus,Find the maximum value of f(x) = -x² + 6x - 5,4,5,9,1,0,"f(x) = -x² + 6x - 5"
Calculus,Where is f(x) = x⁴ - 4x³ concave up?,x > 2,x > 0,x > 3,x > 1,0,"f(x) = x⁴ - 4x³"
Calculus,A balloon is being inflated at 10 cm³/min. How fast is the radius changing when r = 5 cm?,2/(25π) cm/min,1/(25π) cm/min,10/(25π) cm/min,1/(5π) cm/min,0,"dV/dt = 10 cm³/min, r = 5 cm"
Calculus,A ladder 13 ft long leans against a wall. If the bottom moves away at 5 ft/s and the bottom is 5 ft from the wall find how fast the top is moving,-25/12 ft/s,-5/12 ft/s,-12/5 ft/s,-5 ft/s,0,"L = 13 ft, dx/dt = 5 ft/s, x = 5 ft"
Calculus,Water flows into a conical tank at 8 ft³/min. If the radius is always half the height find dh/dt when h = 6 ft,32/(9π) ft/min,8/(9π) ft/min,16/(9π) ft/min,8/(3π) ft/min,0,"dV/dt = 8 ft³/min, r = h/2, h = 6 ft"
Calculus,Find the dimensions of a rectangle with perimeter 20 that has maximum area,5 × 5,4 × 6,3 × 7,6 × 4,0,"Perimeter = 20"
Calculus,What is the minimum value of f(x) = x² + 4/x for x > 0?,4,2√2,4√2,6,0,"f(x) = x² + 4/x"
Calculus,A box with square base and no top has volume 32. Find dimensions for minimum surface area,Base 4×4 height 2,Base 2×2 height 8,Base 8×8 height 0.5,Base 3×3 height 32/9,0,"Volume = 32"
Calculus,Evaluate lim(x→0) sin(3x)/x using Calculus,3,1,0,∞,0,"lim(x→0) sin(3x)/x"
Calculus,Find lim(x→0) (e^x - 1)/x,1,0,e,∞,0,"lim(x→0) (e^x - 1)/x"
Calculus,Calculate lim(x→∞) ln(x)/x,0,1,∞,-∞,0,"lim(x→∞) ln(x)/x"
Calculus,Evaluate lim(x→0) (1 - cos(x))/x²,1/2,0,1,∞,0,"lim(x→0) (1 - cos(x))/x²"
Calculus,Find ∫ x e^x dx,(x-1)e^x + C,xe^x + C,xe^x - e^x + C,x²e^x + C,0,"∫ x e^x dx"
Calculus,Calculate ∫ x sin(x) dx,-x cos(x) + sin(x) + C,x cos(x) + sin(x) + C,-x cos(x) - sin(x) + C,x sin(x) + cos(x) + C,0,"∫ x sin(x) dx"
Calculus,Find ∫ ln(x) dx,x ln(x) - x + C,ln(x) + C,x ln(x) + C,x ln(x) + x + C,0,"∫ ln(x) dx"
Calculus,Calculate ∫ x² e^x dx,x²e^x - 2xe^x + 2e^x + C,x²e^x + C,(x² - 2x + 2)e^x + C,x²e^x - 2e^x + C,2,"∫ x² e^x dx"
Calculus,Find ∫ sin²(x) dx,x/2 - sin(2x)/4 + C,x/2 + sin(2x)/4 + C,-cos²(x)/2 + C,sin(2x)/2 + C,0,"∫ sin²(x) dx"
Calculus,Calculate ∫ cos²(x) dx,x/2 + sin(2x)/4 + C,x/2 - sin(2x)/4 + C,sin²(x)/2 + C,cos(2x)/2 + C,0,"∫ cos²(x) dx"
Calculus,Find ∫ tan(x) dx,-ln|cos(x)| + C,ln|cos(x)| + C,ln|sin(x)| + C,-ln|sin(x)| + C,0,"∫ tan(x) dx"
Calculus,Find ∫ 2x(x² + 1)⁵ dx,(x² + 1)⁶/6 + C,(x² + 1)⁶ + C,6(x² + 1)⁵ + C,(x² + 1)⁶/3 + C,0,"∫ 2x(x² + 1)⁵ dx"
Calculus,Calculate ∫ sin(3x) dx,-cos(3x)/3 + C,cos(3x)/3 + C,-3cos(3x) + C,sin(3x)/3 + C,0,"∫ sin(3x) dx"
Calculus,Find ∫ e^(2x+1) dx,e^(2x+1)/2 + C,2e^(2x+1) + C,e^(2x+1) + C,(2x+1)e^(2x+1) + C,0,"∫ e^(2x+1) dx"
Calculus,Find ∫ 1/((x-1)(x+2)) dx,1/3 ln|x-1| - 1/3 ln|x+2| + C,ln|x-1| - ln|x+2| + C,1/3 ln|(x-1)/(x+2)| + C,ln|(x-1)/(x+2)| + C,2,"∫ 1/((x-1)(x+2)) dx"
Calculus,Evaluate ∫₁^∞ 1/x² dx,1,∞,0,2,0,"∫₁^∞ 1/x² dx"
Calculus,Find ∫₀^∞ e^(-x) dx,1,∞,0,e,0,"∫₀^∞ e^(-x) dx"
Algebra,Find the sum of the geometric series 1 + 1/2 + 1/4 + 1/8 + ...,2,1,4,∞,0,"1 + 1/2 + 1/4 + 1/8 + ..."
Algebra,What is the nth term of the arithmetic sequence 3 7 11 15...?,4n - 1,3n + 4,4n + 3,3 + 4n,0,"3, 7, 11, 15, ..."
Algebra,Find the first three terms of the Taylor series for e^x about x = 0,1 + x + x²/2,1 + x + x²,e + ex + ex²,1 + ex + e²x²,0,"e^x about x = 0"
Algebra,What is the Taylor series for sin(x) about x = 0?,x - x³/6 + x⁵/120 - ...,1 + x + x²/2 + ...,x + x³/6 + x⁵/120 + ...,1 - x²/2 + x⁴/24 - ...,0,"sin(x) about x = 0"
Calculus,Solve dy/dx = 3y,y = Ce^(3x),y = 3x + C,y = 3Ce^x,y = C + 3x,0,"dy/dx = 3y"
Calculus,Find the general solution to dy/dx = x,y = x²/2 + C,y = x + C,y = 2x + C,y = x² + C,0,"dy/dx = x"
